Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2023-08-07,19576.85,19620.45,19524.8,19597.3,216586074.0,21655.87
2023-08-08,19627.2,19634.4,19533.1,19570.85,260294052.0,25437.47
2023-08-09,19578.8,19645.5,19467.5,19632.55,266495074.0,23201.75
2023-08-10,19605.55,19623.6,19495.4,19543.1,312193785.0,29430.34
2023-08-11,19554.25,19557.75,19412.75,19428.3,235524048.0,24521.24
2023-08-14,19383.95,19465.85,19257.9,19434.55,243850815.0,22767.43
2023-08-16,19369.0,19482.75,19317.2,19465.0,226627230.0,21484.66
2023-08-17,19450.55,19461.55,19326.25,19365.25,268663456.0,26505.65
2023-08-18,19301.75,19373.8,19253.6,19310.15,256142364.0,25641.41
2023-08-21,19320.65,19425.95,19296.3,19393.6,262589133.0,20738.75
2023-08-22,19417.1,19443.5,19381.3,19396.45,208704354.0,20226.48
2023-08-23,19439.2,19472.05,19366.6,19444.0,225214991.0,20167.16
2023-08-24,19535.15,19584.45,19369.0,19386.7,268256859.0,24338.24
2023-08-25,19297.4,19339.55,19229.7,19265.8,466518217.0,24998.12
2023-08-28,19298.35,19366.85,19249.7,19306.05,248178769.0,18237.22
2023-08-29,19374.85,19377.9,19309.1,19342.65,307388116.0,22501.12
2023-08-30,19433.45,19452.8,19334.75,19347.45,233004568.0,19877.49
2023-08-31,19375.55,19388.2,19223.65,19253.8,562557215.0,45699.54
2023-09-01,19258.15,19458.55,19255.7,19435.3,372502191.0,25962.38
2023-09-04,19525.05,19545.15,19432.85,19528.8,396071122.0,24822.79
2023-09-05,19564.65,19587.05,19525.75,19574.9,303958622.0,24029.89
2023-09-06,19581.2,19636.45,19491.5,19611.05,512974083.0,32500.52
2023-09-07,19598.65,19737.0,19550.05,19727.05,304929822.0,23591.0
2023-09-08,19774.8,19867.15,19728.05,19819.95,288093693.0,23530.84
2023-09-11,19890.0,20008.15,19865.35,19996.35,248763130.0,21924.34
2023-09-12,20110.15,20110.35,19914.65,19993.2,328064239.0,30110.8
2023-09-13,19989.5,20096.9,19944.1,20070.0,251394599.0,24332.36
2023-09-14,20127.95,20167.65,20043.45,20103.1,275111881.0,21902.65
2023-09-15,20156.45,20222.45,20129.7,20192.35,438185104.0,42681.35
2023-09-18,20155.95,20195.35,20115.7,20133.3,264870758.0,21135.95
2023-09-20,19980.75,20050.65,19878.85,19901.4,378065882.0,37351.58
2023-09-21,19840.55,19848.75,19709.95,19742.35,275132260.0,26711.83
2023-09-22,19744.85,19798.65,19657.5,19674.25,246410075.0,24137.57
2023-09-25,19678.2,19734.15,19601.55,19674.55,188398392.0,20194.48
2023-09-26,19682.8,19699.35,19637.45,19664.7,204869058.0,18118.19
2023-09-27,19637.05,19730.7,19554.0,19716.45,203559874.0,19659.17
2023-09-28,19761.8,19766.65,19492.1,19523.55,352810261.0,30069.78
2023-09-29,19581.2,19726.25,19551.05,19638.3,243508919.0,20978.72
2023-10-03,19622.4,19623.2,19479.65,19528.75,221719625.0,21459.58
2023-10-04,19446.3,19457.8,19333.6,19436.1,277148310.0,26017.47
2023-10-05,19521.85,19576.95,19487.3,19545.75,234865323.0,22019.04
2023-10-06,19621.2,19675.75,19589.4,19653.5,159051277.0,16096.52
2023-10-09,19539.45,19588.95,19480.5,19512.35,165094800.0,15499.67
2023-10-10,19565.6,19717.8,19565.45,19689.85,216559447.0,18735.62
2023-10-11,19767.0,19839.2,19756.95,19811.35,213729730.0,19900.99
2023-10-12,19822.7,19843.3,19772.65,19794.0,217904144.0,20999.94
2023-10-13,19654.55,19805.4,19635.3,19751.05,254955979.0,24363.02
2023-10-16,19737.25,19781.3,19691.85,19731.75,180964341.0,14746.01
2023-10-17,19843.2,19849.75,19775.65,19811.5,185846716.0,16839.87
2023-10-18,19820.45,19840.95,19659.95,19671.1,198942937.0,18581.64
2023-10-19,19545.2,19681.8,19512.35,19624.7,230312163.0,23582.01
2023-10-20,19542.15,19593.8,19518.7,19542.65,198341255.0,17944.31
2023-10-23,19521.6,19556.85,19257.85,19281.75,176044288.0,16212.9
2023-10-25,19286.45,19347.3,19074.15,19122.15,225291741.0,19818.32
2023-10-26,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64
2023-10-27,18928.75,19076.15,18926.65,19047.25,205201044.0,19947.48
2023-10-30,19053.4,19158.5,18940.0,19140.9,180132492.0,17095.73
2023-10-31,19232.95,19233.7,19056.45,19079.6,206049341.0,19397.36
2023-11-01,19064.05,19096.05,18973.7,18989.15,194103279.0,18452.51
2023-11-02,19120.0,19175.25,19064.15,19133.25,245595109.0,19771.49
2023-11-03,19241.0,19276.25,19210.9,19230.6,189516123.0,17304.87
2023-11-06,19345.85,19423.0,19309.7,19411.75,180690631.0,16296.56
2023-11-07,19404.05,19423.5,19329.1,19406.7,198660124.0,18288.06
2023-11-08,19449.6,19464.4,19401.5,19443.5,194967997.0,17060.45
2023-11-09,19457.4,19463.9,19378.35,19395.3,208418472.0,19087.29
2023-11-10,19351.85,19451.3,19329.45,19425.35,152215785.0,12916.21
2023-11-12,19547.25,19547.25,19510.25,19525.55,37311902.0,2482.27
